"Team","League","Year.x","RS","RA.x","W.x","OBP","SLG","BA","Playoffs.x","RankSeason","RankPlayoffs","G.x","OOBP","OSLG","Playoffs2","current.x","join_val","X.x","Rk","Year.y","Tm.x","Lg","G.y","W.y","L.x","Ties","W.L..x","pythW.L.","Finish","GB","Playoffs.y","R.x","RA.y","Attendance","BatAge","PAge.x","Num.Bat","Num.P","Top.Player","Managers","current.y","WAR","Abv","X.y","Tm.y","X.P","PAge.y","RA.G","W","L.y","W.L..y","ERA","G","GS","GF","CG","tSho","cSho","SV","IP","H","R.y","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","ERA.","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","Year","current","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"PIT","NL",2007,724,846,68,0.325,0.411,0.263,0,NA,NA,162,0.352,0.447,"NO","PIT","PIT - 2007",1949,10,2007,"Pittsburgh Pirates","NL Central",162,68,94,0,0.42,0.429,"6th of 6","17","",724,846,1749142,27.2,27.1,46,25,"J.Wilson (3.6)","J.Tracy (68-94)","Pittsburgh Pirates",3.6,"PIT",1180,"PIT",25,27.1,5.22,68,94,0.42,4.93,162,162,158,4,5,2,32,1447.2,1627,846,793,174,518,55,997,76,3,45,6374,89,4.66,1.482,10.1,1.1,3.2,6.2,1.92,7.31481481481481,2007,"PIT",89,0.197530864197531,0.0246913580246914,0.0308641975308642,0.0123456790123457,4.46913580246914,68
"SDP","NL",2007,741,666,89,0.322,0.411,0.251,0,NA,NA,163,0.311,0.374,"NO","SDP","SDP - 2007",2084,10,2007,"San Diego Padres","NL West",163,89,74,0,0.546,0.549,"3rd of 5","1.5","",741,666,2790074,29.9,31.5,49,21,"J.Peavy (6.9)","B.Black (89-74)","San Diego Padres",6.9,"SDP",1181,"SDP",21,31.5,4.09,89,74,0.546,3.7,163,163,162,1,20,0,45,1484.2,1406,666,611,119,474,48,1136,48,6,42,6254,108,3.81,1.266,8.5,0.7,2.9,6.9,2.4,6.95705521472393,2007,"SDP",108,0.276073619631902,0.00613496932515337,0.122699386503067,0,4.54601226993865,88.4539877300613
"SEA","AL",2007,794,813,88,0.337,0.425,0.287,0,NA,NA,162,0.349,0.431,"NO","SEA","SEA - 2007",2266,10,2007,"Seattle Mariners","AL West",162,88,74,0,0.543,0.489,"2nd of 4","6","",794,813,2672223,29.8,28.1,44,23,"I.Suzuki (5.8)","M.Hargrove (45-33) and J.McLaren (43-41)","Seattle Mariners",5.8,"SEA",1182,"SEA",23,28.1,5.02,88,74,0.543,4.73,162,162,156,6,12,4,43,1434.1,1578,813,754,147,546,39,1020,62,10,59,6313,92,4.42,1.481,9.9,0.9,3.4,6.4,1.87,7.38888888888889,2007,"SEA",92,0.265432098765432,0.037037037037037,0.0740740740740741,0.0246913580246914,4.90123456790123,88
"SFG","NL",2007,683,720,71,0.322,0.387,0.254,0,NA,NA,162,0.334,0.405,"NO","SFG","SFG - 2007",2132,10,2007,"San Francisco Giants","NL West",162,71,91,0,0.438,0.476,"5th of 5","19","",683,720,3223215,32.7,27.3,44,22,"M.Cain (4.3)","B.Bochy (71-91)","San Francisco Giants",4.3,"SFG",1183,"SFG",22,27.3,4.44,71,91,0.438,4.19,162,162,157,5,10,0,37,1453.2,1442,720,677,133,593,41,1057,47,4,49,6299,107,4.3,1.4,8.9,0.8,3.7,6.5,1.78,7.51851851851852,2007,"SFG",107,0.228395061728395,0.0308641975308642,0.0617283950617284,0,4.21604938271605,71
"STL","NL",2007,725,829,78,0.337,0.405,0.274,0,NA,NA,162,0.336,0.431,"NO","STL","STL - 2007",2306,10,2007,"St. Louis Cardinals","NL Central",162,78,84,0,0.481,0.439,"3rd of 6","7","",725,829,3552180,30.2,29.6,45,25,"A.Pujols (8.7)","T.La Russa (78-84)","St. Louis Cardinals",8.7,"STL",1184,"STL",25,29.6,5.12,78,84,0.481,4.65,162,162,160,2,8,0,34,1435.2,1514,829,741,168,509,25,945,73,6,39,6283,95,4.66,1.409,9.5,1.1,3.2,5.9,1.86,7.08024691358025,2007,"STL",95,0.209876543209877,0.0123456790123457,0.0493827160493827,0,4.47530864197531,78
"TBD","AL",2007,782,944,66,0.336,0.433,0.268,0,NA,NA,162,0.358,0.467,"NO","TBR","TBR - 2007",2441,10,2007,"Tampa Bay Devil Rays","AL East",162,66,96,0,0.407,0.415,"5th of 5","30","",782,944,1387603,26.1,27,45,24,"C.Pena (7.2)","J.Maddon (66-96)","Tampa Bay Rays",7.2,"TBR",1185,"TBD",24,27,5.83,66,96,0.407,5.53,162,162,160,2,2,1,28,1429.2,1649,944,879,199,568,31,1194,63,2,55,6403,82,4.7,1.551,10.4,1.3,3.6,7.5,2.1,7.22222222222222,2007,"TBR",82,0.172839506172839,0.0123456790123457,0.0123456790123457,0.00617283950617284,4.82716049382716,66
"TEX","AL",2007,816,844,75,0.328,0.426,0.263,0,NA,NA,162,0.356,0.423,"NO","TEX","TEX - 2007",2460,10,2007,"Texas Rangers","AL West",162,75,87,0,0.463,0.485,"4th of 4","19","",816,844,2353862,29.3,27.7,50,25,"I.Kinsler (4.1)","R.Washington (75-87)","Texas Rangers",4.1,"TEX",1186,"TEX",25,27.7,5.21,75,87,0.463,4.75,162,162,162,0,6,0,42,1430,1525,844,755,155,668,38,976,70,4,66,6389,96,4.83,1.534,9.6,1,4.2,6.1,1.46,7.74691358024691,2007,"TEX",96,0.259259259259259,0,0.037037037037037,0,5.03703703703704,75
"TOR","AL",2007,753,699,83,0.327,0.419,0.259,0,NA,NA,162,0.315,0.391,"NO","TOR","TOR - 2007",2516,10,2007,"Toronto Blue Jays","AL East",162,83,79,0,0.512,0.534,"3rd of 5","13","",753,699,2360644,30.3,27.3,46,23,"A.Rios (5.6)","J.Gibbons (83-79)","Toronto Blue Jays",5.6,"TOR",1187,"TOR",23,27.3,4.31,83,79,0.512,4,162,162,151,11,9,2,44,1448.2,1383,699,644,157,479,34,1067,55,3,42,6108,112,4.28,1.285,8.6,1,3,6.6,2.23,6.56172839506173,2007,"TOR",112,0.271604938271605,0.0679012345679012,0.0555555555555556,0.0123456790123457,4.64814814814815,83
"WSN","NL",2007,673,783,73,0.325,0.39,0.256,0,NA,NA,162,0.339,0.433,"NO","WSN","WSN - 2007",2556,10,2007,"Washington Nationals","NL East",162,73,89,0,0.451,0.431,"4th of 5","16","",673,783,1943812,27.9,27.5,47,26,"R.Zimmerman (4.6)","M.Acta (73-89)","Washington Nationals",4.6,"WSN",1188,"WSN",26,27.5,4.83,73,89,0.451,4.58,162,162,162,0,6,0,46,1446.2,1502,783,736,187,580,44,931,42,4,52,6333,93,4.92,1.439,9.3,1.2,3.6,5.8,1.61,7.46913580246914,2007,"WSN",93,0.283950617283951,0,0.037037037037037,0,4.15432098765432,73
"ARI","NL",2006,773,788,76,0.331,0.424,0.267,0,NA,NA,162,0.335,0.431,"NO","ARI","ARI - 2006",11,11,2006,"Arizona Diamondbacks","NL West",162,76,86,0,0.469,0.491,"4th of 5","12","",773,788,2091685,29.6,28.8,45,25,"B.Webb (7.0)","B.Melvin (76-86)","Arizona Diamondbacks",7,"ARI",1129,"ARI",25,28.8,4.86,76,86,0.469,4.48,162,162,154,8,9,4,34,1459.2,1503,788,727,168,536,44,1115,61,4,53,6341,106,4.34,1.397,9.3,1,3.3,6.9,2.08,7.24691358024691,2006,"ARI",106,0.209876543209877,0.0493827160493827,0.0555555555555556,0.0246913580246914,4.77160493827161,76
"ATL","NL",2006,849,805,79,0.337,0.455,0.27,0,NA,NA,162,0.343,0.438,"NO","ATL","ATL - 2006",30,11,2006,"Atlanta Braves","NL East",162,79,83,0,0.488,0.524,"3rd of 5","18","",849,805,2550524,27.5,29.4,45,26,"J.Smoltz (5.9)","B.Cox (79-83)","Atlanta Braves",5.9,"ATL",1130,"ATL",26,29.4,4.97,79,83,0.488,4.6,162,162,156,6,6,2,38,1441.1,1529,805,736,183,572,69,1049,55,2,39,6350,97,4.65,1.458,9.5,1.1,3.6,6.6,1.83,7.53703703703704,2006,"ATL",97,0.234567901234568,0.037037037037037,0.037037037037037,0.0123456790123457,5.24074074074074,79
"BAL","AL",2006,768,899,70,0.339,0.424,0.277,0,NA,NA,162,0.357,0.462,"NO","BAL","BAL - 2006",171,11,2006,"Baltimore Orioles","AL East",162,70,92,0,0.432,0.428,"4th of 5","27","",768,899,2153139,30.3,27.9,46,24,"M.Tejada (4.5)","S.Perlozzo (70-92)","Baltimore Orioles",4.5,"BAL",1131,"BAL",24,27.9,5.55,70,92,0.432,5.35,162,162,157,5,9,1,35,1419,1579,899,843,216,613,26,1016,48,4,59,6327,85,5.09,1.545,10,1.4,3.9,6.4,1.66,7.22839506172839,2006,"BAL",85,0.216049382716049,0.0308641975308642,0.0555555555555556,0.00617283950617284,4.74074074074074,70
"BOS","AL",2006,820,825,86,0.351,0.435,0.269,0,NA,NA,162,0.343,0.447,"NO","BOS","BOS - 2006",287,11,2006,"Boston Red Sox","AL East",162,86,76,0,0.531,0.497,"3rd of 5","11","",820,825,2930588,30.5,31.1,53,28,"D.Ortiz (5.7)","T.Francona (86-76)","Boston Red Sox",5.7,"BOS",1132,"BOS",28,31.1,5.09,86,76,0.531,4.83,162,162,159,3,6,1,46,1441.1,1570,825,773,181,509,25,1070,68,3,52,6292,99,4.5,1.442,9.8,1.1,3.2,6.7,2.1,7.05555555555556,2006,"BOS",99,0.283950617283951,0.0185185185185185,0.037037037037037,0.00617283950617284,5.06172839506173,86
"CHC","NL",2006,716,834,66,0.319,0.422,0.268,0,NA,NA,162,0.342,0.431,"NO","CHC","CHC - 2006",403,11,2006,"Chicago Cubs","NL Central",162,66,96,0,0.407,0.431,"6th of 6","17.5","",716,834,3123215,28.6,28,46,23,"C.Zambrano (5.8)","D.Baker (66-96)","Chicago Cubs",5.8,"CHC",1133,"CHC",23,28,5.15,66,96,0.407,4.74,162,162,160,2,7,1,29,1439,1396,834,758,210,687,44,1250,67,4,68,6366,98,4.88,1.448,8.7,1.3,4.3,7.8,1.82,7.5,2006,"CHC",98,0.179012345679012,0.0123456790123457,0.0432098765432099,0.00617283950617284,4.41975308641975,66
"CHW","AL",2006,868,794,90,0.342,0.464,0.28,0,NA,NA,162,0.326,0.44,"NO","CHW","CHW - 2006",544,11,2006,"Chicago White Sox","AL Central",162,90,72,0,0.556,0.541,"3rd of 5","6","",868,794,2957414,29.6,27.9,37,18,"J.Thome (4.9)","O.Guillen (90-72)","Chicago White Sox",4.9,"CHW",1134,"CHW",18,27.9,4.9,90,72,0.556,4.61,162,162,157,5,11,2,46,1449,1534,794,743,200,433,59,1012,58,1,51,6232,103,4.56,1.357,9.5,1.2,2.7,6.3,2.34,6.73456790123457,2006,"CHW",103,0.283950617283951,0.0308641975308642,0.0679012345679012,0.0123456790123457,5.35802469135802,90
"CIN","NL",2006,749,801,80,0.336,0.432,0.257,0,NA,NA,162,0.337,0.457,"NO","CIN","CIN - 2006",660,11,2006,"Cincinnati Reds","NL Central",162,80,82,0,0.494,0.469,"3rd of 6","3.5","",749,801,2134607,29.6,29.5,54,29,"B.Arroyo (7.0)","J.Narron (80-82)","Cincinnati Reds",7,"CIN",1135,"CIN",29,29.5,4.94,80,82,0.494,4.51,162,162,153,9,10,3,36,1445.2,1576,801,725,213,464,55,1053,60,9,40,6319,104,4.69,1.411,9.8,1.3,2.9,6.6,2.27,7.29012345679012,2006,"CIN",104,0.222222222222222,0.0555555555555556,0.0617283950617284,0.0185185185185185,4.62345679012346,80
"CLE","AL",2006,870,782,78,0.349,0.457,0.28,0,NA,NA,162,0.335,0.431,"NO","CLE","CLE - 2006",795,11,2006,"Cleveland Indians","AL Central",162,78,84,0,0.481,0.549,"4th of 5","18","",870,782,1997995,27.8,28.6,45,23,"G.Sizemore (6.6)","E.Wedge (78-84)","Cleveland Indians",6.6,"CLE",1136,"CLE",23,28.6,4.83,78,84,0.481,4.41,162,162,149,13,13,6,24,1423.1,1583,782,698,166,429,35,948,51,2,46,6190,101,4.34,1.414,10,1,2.7,6,2.21,7.02469135802469,2006,"CLE",101,0.148148148148148,0.0802469135802469,0.0802469135802469,0.037037037037037,5.37037037037037,78
"COL","NL",2006,813,812,76,0.341,0.433,0.27,0,NA,NA,162,0.346,0.438,"NO","COL","COL - 2006",911,11,2006,"Colorado Rockies","NL West",162,76,86,0,0.469,0.501,"4th of 5","12","",813,812,2104362,27.8,28.8,50,24,"G.Atkins (4.9)","C.Hurdle (76-86)","Colorado Rockies",4.9,"COL",1137,"COL",24,28.8,5.01,76,86,0.469,4.66,162,162,157,5,8,4,34,1447.1,1549,812,749,155,553,81,952,66,2,43,6318,106,4.51,1.452,9.6,1,3.4,5.9,1.72,7.18518518518519,2006,"COL",106,0.209876543209877,0.0308641975308642,0.0493827160493827,0.0246913580246914,5.01851851851852,76
"DET","AL",2006,822,675,95,0.329,0.449,0.274,1,3,2,162,0.321,0.405,"YES","DET","DET - 2006",935,11,2006,"Detroit Tigers","AL Central",162,95,67,0,0.586,0.589,"2nd of 5","1","Lost WS (4-1)",822,675,2595937,29.3,28.8,40,19,"C.Guillen (6.0)","J.Leyland (95-67)","Detroit Tigers",6,"DET",1138,"DET",19,28.8,4.17,95,67,0.586,3.84,162,162,159,3,16,1,46,1448,1420,675,618,160,489,35,1003,53,2,44,6145,118,4.32,1.318,8.8,1,3,6.2,2.05,6.95061728395062,2006,"DET",118,0.283950617283951,0.0185185185185185,0.0987654320987654,0.00617283950617284,5.07407407407407,95
"FLA","NL",2006,758,772,78,0.331,0.435,0.264,0,NA,NA,162,0.347,0.423,"NO","MIA","MIA - 2006",1343,11,2006,"Florida Marlins","NL East",162,78,84,0,0.481,0.492,"4th of 5","19","",758,772,1164134,25.6,25.9,40,21,"M.Cabrera (5.8)","J.Girardi (78-84)","Miami Marlins",5.8,"MIA",1139,"FLA",21,25.9,4.77,78,84,0.481,4.37,162,162,156,6,6,2,41,1433.1,1465,772,696,166,622,58,1088,74,4,47,6294,99,4.59,1.456,9.2,1,3.9,6.8,1.75,7.54320987654321,2006,"MIA",99,0.253086419753086,0.037037037037037,0.037037037037037,0.0123456790123457,4.67901234567901,78
"HOU","NL",2006,735,719,82,0.332,0.409,0.255,0,NA,NA,162,0.319,0.421,"NO","HOU","HOU - 2006",1051,11,2006,"Houston Astros","NL Central",162,82,80,0,0.506,0.51,"2nd of 6","1.5","",735,719,3022763,30.5,29.8,39,19,"R.Oswalt (6.1)","P.Garner (82-80)","Houston Astros",6.1,"HOU",1140,"HOU",19,29.8,4.44,82,80,0.506,4.08,162,162,157,5,12,2,42,1468.2,1425,719,666,182,480,65,1160,54,2,44,6219,109,4.27,1.297,8.7,1.1,2.9,7.1,2.42,6.75308641975309,2006,"HOU",109,0.259259259259259,0.0308641975308642,0.0740740740740741,0.0123456790123457,4.53703703703704,82
"KCR","AL",2006,757,971,62,0.332,0.411,0.271,0,NA,NA,162,0.367,0.476,"NO","KCR","KCR - 2006",1106,11,2006,"Kansas City Royals","AL Central",162,62,100,0,0.383,0.388,"5th of 5","34","",757,971,1372638,29.6,27.7,55,31,"M.Teahen (3.7)","B.Bell (62-100)","Kansas City Royals",3.7,"KCR",1141,"KCR",31,27.7,5.99,62,100,0.383,5.65,162,162,159,3,5,2,35,1426.1,1648,971,896,213,637,45,904,60,9,85,6434,83,5.29,1.602,10.4,1.3,4,5.7,1.42,7.30864197530864,2006,"KCR",83,0.216049382716049,0.0185185185185185,0.0308641975308642,0.0123456790123457,4.67283950617284,62
"LAA","AL",2006,766,732,89,0.334,0.425,0.274,0,NA,NA,162,0.316,0.402,"NO","LAA","LAA - 2006",1154,11,2006,"Los Angeles Angels of Anaheim","AL West",162,89,73,0,0.549,0.521,"2nd of 4","4","",766,732,3406790,28.8,27.9,40,18,"J.Weaver (4.8)","M.Scioscia (89-73)","Los Angeles Angels of Anaheim",4.8,"LAA",1142,"LAA",18,27.9,4.52,89,73,0.549,4.04,162,162,157,5,12,3,50,1452.2,1410,732,652,158,471,27,1164,50,3,85,6149,112,4.03,1.295,8.7,1,2.9,7.2,2.47,6.53703703703704,2006,"LAA",112,0.308641975308642,0.0308641975308642,0.0740740740740741,0.0185185185185185,4.72839506172839,89
"LAD","NL",2006,820,751,88,0.348,0.432,0.276,1,5,4,162,0.33,0.418,"YES","LAD","LAD - 2006",1210,11,2006,"Los Angeles Dodgers","NL West",162,88,74,0,0.543,0.54,"2nd of 5","--","Lost LDS (3-0)",820,751,3758545,29.9,30.4,50,22,"D.Lowe (4.6)","G.Little (88-74)","Los Angeles Dodgers",4.6,"LAD",1143,"LAD",22,30.4,4.64,88,74,0.543,4.23,162,162,161,1,10,0,40,1460.1,1524,751,686,152,492,40,1068,41,8,54,6289,107,4.13,1.381,9.4,0.9,3,6.6,2.17,7.14197530864198,2006,"LAD",107,0.246913580246914,0.00617283950617284,0.0617283950617284,0,5.06172839506173,88
"MIL","NL",2006,730,833,75,0.327,0.42,0.258,0,NA,NA,162,0.333,0.438,"NO","MIL","MIL - 2006",1367,11,2006,"Milwaukee Brewers","NL Central",162,75,87,0,0.463,0.44,"4th of 6","8.5","",730,833,2335643,28.8,28.3,49,27,"B.Hall (5.8)","N.Yost (75-87)","Milwaukee Brewers",5.8,"MIL",1144,"MIL",27,28.3,5.14,75,87,0.463,4.82,162,162,155,7,8,5,43,1425.2,1454,833,763,177,514,34,1145,74,2,57,6210,95,4.39,1.38,9.2,1.1,3.2,7.2,2.23,6.79012345679012,2006,"MIL",95,0.265432098765432,0.0432098765432099,0.0493827160493827,0.0308641975308642,4.50617283950617,75
"MIN","AL",2006,801,683,96,0.347,0.425,0.287,1,2,4,162,0.312,0.423,"YES","MIN","MIN - 2006",1415,11,2006,"Minnesota Twins","AL Central",162,96,66,0,0.593,0.572,"1st of 5","--","Lost LDS (3-0)",801,683,2285018,28.2,26.9,39,17,"J.Santana (7.5)","R.Gardenhire (96-66)","Minnesota Twins",7.5,"MIN",1145,"MIN",17,26.9,4.22,96,66,0.593,3.95,162,162,161,1,6,0,40,1439.1,1490,683,632,182,356,25,1164,36,3,40,6066,114,3.99,1.283,9.3,1.1,2.2,7.3,3.27,6.57407407407407,2006,"MIN",114,0.246913580246914,0.00617283950617284,0.037037037037037,0,4.94444444444444,96
"NYM","NL",2006,834,731,97,0.334,0.445,0.264,1,1,3,162,0.323,0.407,"YES","NYM","NYM - 2006",1531,11,2006,"New York Mets","NL East",162,97,65,0,0.599,0.56,"1st of 5","--","Lost NLCS (4-3)",834,731,3379535,30.2,32.2,49,27,"C.Beltran (8.2)","W.Randolph (97-65)","New York Mets",8.2,"NYM",1146,"NYM",27,32.2,4.51,97,65,0.599,4.14,162,162,157,5,12,3,43,1461.1,1402,731,673,180,527,39,1161,62,5,37,6240,106,4.37,1.32,8.6,1.1,3.2,7.2,2.2,6.94444444444444,2006,"NYM",106,0.265432098765432,0.0308641975308642,0.0740740740740741,0.0185185185185185,5.14814814814815,97
"NYY","AL",2006,930,767,97,0.363,0.461,0.285,1,1,4,162,0.326,0.413,"YES","NYY","NYY - 2006",1586,11,2006,"New York Yankees","AL East",162,97,65,0,0.599,0.587,"1st of 5","--","Lost LDS (3-1)",930,767,4248067,30.9,32.5,49,25,"C.Wang (6.0)","J.Torre (97-65)","New York Yankees",6,"NYY",1147,"NYY",25,32.5,4.73,97,65,0.599,4.41,162,162,157,5,8,1,43,1443.2,1463,767,708,170,496,41,1019,59,7,46,6215,103,4.42,1.357,9.1,1.1,3.1,6.4,2.05,6.89506172839506,2006,"NYY",103,0.265432098765432,0.0308641975308642,0.0493827160493827,0.00617283950617284,5.74074074074074,97
"OAK","AL",2006,771,727,93,0.34,0.412,0.26,1,4,3,162,0.338,0.422,"YES","OAK","OAK - 2006",1700,11,2006,"Oakland Athletics","AL West",162,93,69,0,0.574,0.527,"1st of 4","--","Lost ALCS (4-0)",771,727,1976625,29.5,27,41,21,"B.Zito (4.4)","K.Macha (93-69)","Oakland Athletics",4.4,"OAK",1148,"OAK",21,27,4.49,93,69,0.574,4.21,162,162,157,5,11,2,54,1451.2,1525,727,679,162,529,47,1003,55,4,43,6279,106,4.42,1.415,9.5,1,3.3,6.2,1.9,7.38888888888889,2006,"OAK",106,0.333333333333333,0.0308641975308642,0.0679012345679012,0.0123456790123457,4.75925925925926,93
"PHI","NL",2006,865,812,85,0.347,0.447,0.267,0,NA,NA,162,0.339,0.46,"NO","PHI","PHI - 2006",1816,11,2006,"Philadelphia Phillies","NL East",162,85,77,0,0.525,0.529,"2nd of 5","12","",865,812,2701815,29.3,30.5,45,23,"C.Utley (7.3)","C.Manuel (85-77)","Philadelphia Phillies",7.3,"PHI",1149,"PHI",23,30.5,5.01,85,77,0.525,4.6,162,162,158,4,6,2,42,1460.1,1561,812,747,211,512,63,1138,62,4,58,6366,102,4.65,1.42,9.6,1.3,3.2,7,2.22,7.24074074074074,2006,"PHI",102,0.259259259259259,0.0246913580246914,0.037037037037037,0.0123456790123457,5.33950617283951,85
"PIT","NL",2006,691,797,67,0.327,0.397,0.263,0,NA,NA,162,0.357,0.431,"NO","PIT","PIT - 2006",1950,11,2006,"Pittsburgh Pirates","NL Central",162,67,95,0,0.414,0.435,"5th of 6","16.5","",691,797,1861549,27.8,27,42,22,"F.Sanchez (4.4)","J.Tracy (67-95)","Pittsburgh Pirates",4.4,"PIT",1150,"PIT",22,27,4.92,67,95,0.414,4.52,162,162,160,2,10,1,39,1435,1545,797,720,156,620,62,1060,70,6,61,6354,98,4.53,1.509,9.7,1,3.9,6.6,1.71,7.72839506172839,2006,"PIT",98,0.240740740740741,0.0123456790123457,0.0617283950617284,0.00617283950617284,4.26543209876543,67
"SDP","NL",2006,731,679,88,0.332,0.416,0.263,1,5,4,162,0.312,0.404,"YES","SDP","SDP - 2006",2085,11,2006,"San Diego Padres","NL West",162,88,74,0,0.543,0.534,"1st of 5","--","Lost LDS (3-1)",731,679,2659757,30.7,30.6,46,22,"M.Cameron (4.3)","B.Bochy (88-74)","San Diego Padres",4.3,"SDP",1151,"SDP",22,30.6,4.19,88,74,0.543,3.87,162,162,158,4,11,2,50,1463.2,1385,679,629,176,468,63,1097,50,4,34,6175,105,4.27,1.266,8.5,1.1,2.9,6.7,2.34,6.82098765432099,2006,"SDP",105,0.308641975308642,0.0246913580246914,0.0679012345679012,0.0123456790123457,4.51234567901235,88
"SEA","AL",2006,756,792,78,0.325,0.424,0.272,0,NA,NA,162,0.337,0.432,"NO","SEA","SEA - 2006",2267,11,2006,"Seattle Mariners","AL West",162,78,84,0,0.481,0.479,"4th of 4","15","",756,792,2481165,28.6,28,49,25,"A.Beltre (5.4)","M.Hargrove (78-84)","Seattle Mariners",5.4,"SEA",1152,"SEA",25,28,4.89,78,84,0.481,4.6,162,162,156,6,6,2,47,1446.2,1500,792,739,183,560,50,1067,53,6,47,6294,97,4.59,1.424,9.3,1.1,3.5,6.6,1.91,7.17283950617284,2006,"SEA",97,0.290123456790123,0.037037037037037,0.037037037037037,0.0123456790123457,4.66666666666667,78
"SFG","NL",2006,746,790,76,0.324,0.422,0.259,0,NA,NA,161,0.337,0.415,"NO","SFG","SFG - 2006",2133,11,2006,"San Francisco Giants","NL West",161,76,85,0,0.472,0.474,"3rd of 5","11.5","",746,790,3130313,33.6,28.7,44,21,"J.Schmidt (4.0)","F.Alou (76-85)","San Francisco Giants",4,"SFG",1153,"SFG",21,28.7,4.91,76,85,0.472,4.63,161,161,154,7,9,3,37,1429.2,1422,790,735,153,584,37,992,70,7,50,6225,97,4.52,1.403,9,1,3.7,6.2,1.7,7.11801242236025,2006,"SFG",97,0.229813664596273,0.0434782608695652,0.0559006211180124,0.0186335403726708,4.63354037267081,76.472049689441
"STL","NL",2006,781,762,83,0.337,0.431,0.269,1,6,1,161,0.337,0.443,"YES","STL","STL - 2006",2307,11,2006,"St. Louis Cardinals","NL Central",161,83,78,0,0.516,0.511,"1st of 6","--","Won WS (4-1)",781,762,3407104,29.6,28.6,41,19,"A.Pujols (8.4)","T.La Russa (83-78)","St. Louis Cardinals",8.4,"STL",1154,"STL",19,28.6,4.73,83,78,0.516,4.54,161,161,155,6,9,3,38,1429.2,1475,762,721,193,504,35,970,80,3,35,6196,98,4.77,1.384,9.3,1.2,3.2,6.1,1.92,7.11180124223602,2006,"STL",98,0.236024844720497,0.0372670807453416,0.0559006211180124,0.0186335403726708,4.85093167701863,83.5155279503106
"TBD","AL",2006,689,856,61,0.314,0.42,0.255,0,NA,NA,162,0.358,0.452,"NO","TBR","TBR - 2006",2442,11,2006,"Tampa Bay Devil Rays","AL East",162,61,101,0,0.377,0.402,"5th of 5","36","",689,856,1368950,27.3,27,49,25,"C.Crawford (4.5)","J.Maddon (61-101)","Tampa Bay Rays",4.5,"TBR",1155,"TBD",25,27,5.28,61,101,0.377,4.96,162,162,159,3,7,2,33,1420.1,1600,856,782,180,606,39,979,63,8,70,6374,92,4.83,1.553,10.1,1.1,3.8,6.2,1.62,7.75925925925926,2006,"TBR",92,0.203703703703704,0.0185185185185185,0.0432098765432099,0.0123456790123457,4.25308641975309,61
"TEX","AL",2006,835,784,80,0.338,0.446,0.278,0,NA,NA,162,0.341,0.424,"NO","TEX","TEX - 2006",2461,11,2006,"Texas Rangers","AL West",162,80,82,0,0.494,0.529,"3rd of 4","13","",835,784,2388757,28.4,28.3,51,26,"G.Matthews (5.2)","B.Showalter (80-82)","Texas Rangers",5.2,"TEX",1156,"TEX",26,28.3,4.84,80,82,0.494,4.6,162,162,159,3,8,1,42,1431.1,1558,784,731,162,496,18,972,66,4,34,6237,101,4.44,1.435,9.8,1,3.1,6.1,1.96,7.15432098765432,2006,"TEX",101,0.259259259259259,0.0185185185185185,0.0493827160493827,0.00617283950617284,5.15432098765432,80
"TOR","AL",2006,809,754,87,0.348,0.463,0.284,0,NA,NA,162,0.328,0.422,"NO","TOR","TOR - 2006",2517,11,2006,"Toronto Blue Jays","AL East",162,87,75,0,0.537,0.532,"2nd of 5","10","",809,754,2302212,28.6,28.1,42,21,"V.Wells (6.2)","J.Gibbons (87-75)","Toronto Blue Jays",6.2,"TOR",1157,"TOR",21,28.1,4.65,87,75,0.537,4.37,162,162,156,6,6,1,42,1428.1,1447,754,694,185,504,56,1076,59,13,53,6151,105,4.51,1.366,9.1,1.2,3.2,6.8,2.13,6.8641975308642,2006,"TOR",105,0.259259259259259,0.037037037037037,0.037037037037037,0.00617283950617284,4.99382716049383,87
"WSN","NL",2006,746,872,71,0.338,0.418,0.262,0,NA,NA,162,0.349,0.447,"NO","WSN","WSN - 2006",2557,11,2006,"Washington Nationals","NL East",162,71,91,0,0.438,0.429,"5th of 5","26","",746,872,2153056,28.5,28.9,57,29,"A.Soriano (6.1)","F.Robinson (71-91)","Washington Nationals",6.1,"WSN",1158,"WSN",29,28.9,5.38,71,91,0.438,5.03,162,162,161,1,3,1,32,1436.1,1535,872,803,193,584,93,960,92,10,47,6424,85,4.97,1.475,9.6,1.2,3.7,6,1.64,7.67283950617284,2006,"WSN",85,0.197530864197531,0.00617283950617284,0.0185185185185185,0.00617283950617284,4.60493827160494,71
